project_id,name,description,for_field,keywords,created_on,modified_on,collaborators
P001,Super Bowl Commercial - Automotive,"High-energy music for Super Bowl automotive spot. Need anthemic, triumphant tracks with builds.",TV Commercial,super bowl;automotive;epic;triumphant;big game;commercial,2025-01-08,2025-02-03,Adam Taylor;Sarah Scarlata
P002,Valentine's Day Promo - Retail,"Romantic, warm music for Valentine's Day retail campaign. Acoustic and emotional.",TV Commercial,valentines;romantic;retail;warm;love;acoustic,2025-01-20,2025-02-10,Sarah Scarlata
P003,Tech Conference Keynote,"Innovation-focused music for tech conference keynote video. Modern, inspiring, forward-looking.",Corporate Video,tech;conference;innovation;keynote;inspiring;modern,2025-02-15,2025-03-10,Bruce Anderson
P004,Spring Fashion Campaign,"Fresh, upbeat music for spring fashion line launch. Trendy, stylish, energetic.",Social Media,fashion;spring;trendy;upbeat;stylish;instagram,2025-03-01,2025-04-05,Sarah Scarlata
P005,Documentary - Climate Change,"Score for climate change documentary. Need emotional, urgent, hopeful pieces.",Documentary,climate;documentary;emotional;urgent;environmental;nature,2025-03-20,2025-06-15,Almon Deomampo;Adam Taylor
P006,Summer Beverage Campaign,"Fun, refreshing music for summer beverage launch. Tropical, feel-good, party vibes.",TV Commercial,summer;beverage;tropical;fun;refreshing;party,2025-05-01,2025-06-20,Sarah Scarlata
P007,Fitness App Update,"Workout music for fitness app refresh. High-energy, motivational, various intensities.",Mobile App,fitness;workout;motivational;energy;app;exercise,2025-06-10,2025-08-01,Bruce Anderson
P008,Back to School Campaign,"Upbeat, youthful music for back to school retail campaign.",TV Commercial,school;retail;youthful;upbeat;education;kids,2025-07-15,2025-08-10,Sarah Scarlata
P009,Halloween Special - Streaming,"Spooky, fun Halloween themed music for streaming platform promo.",Streaming Promo,halloween;spooky;fun;streaming;october;horror,2025-09-01,2025-10-20,Adam Taylor
P010,Holiday Campaign - Retail,"Warm, festive music for holiday retail campaign. Classic and modern holiday feels.",TV Commercial,holiday;christmas;festive;retail;warm;family,2025-10-01,2025-12-14,Sarah Scarlata;Adam Taylor
P011,Year in Review - Corporate,"Inspiring, reflective music for corporate year-end video.",Corporate Video,corporate;year end;inspiring;reflective;achievement,2025-11-01,2025-12-05,Bruce Anderson;Almon Deomampo
P012,Swinging into the New Year,"Upbeat, swing-inspired celebration music for New Year's Eve party. Classic rock and roll, rockabilly, and party anthems for the ultimate countdown celebration.",TV Broadcast,new years;swing;party;rockabilly;celebration;countdown;upbeat;rock and roll;dancing;festive,2025-11-15,2025-12-16,Adam Taylor
