search_id,user_id,query,search_mode,timestamp,result_track_ids,auditioned_track_ids,downloaded_track_ids
S001,U001,dark tension suspense,prompt,2025-01-04 08:47:00,PMY_PMY_0080_00301;VOY_VOY_0060_00502;JMP_JMP_0109_06601;MPATH_MPATH_0099_05901;JW_JWV_0418_06501;JCM_JM_0162_06401,JW_JWV_0418_06501;MPATH_MPATH_0099_05901,
S002,U001,acoustic guitar uplifting,prompt,2025-01-01 09:13:00,PRM_PRM_0146_04201;KPM_KPM_2005_16101;BRU_BR_0066_01601;VOY_VOY_0051_00301;SOHO_SOHO_0330_08801;KOS_KOS_0182_12501;SOHO_BOS_1048_06001;JCM_JM_0162_06401;SON_FCH_0012_00301,JCM_JM_0162_06401;SOHO_SOHO_0330_08801;SOHO_BOS_1048_06001,
S003,U001,corporate inspiring modern,prompt,2025-01-25 10:44:00,KAPT_KAPT_0029_09001;SON_ISCD_0222_02901;SON_SAS_0038_02001;SOHO_SOHO_0160_04501;CEZ_AUD_0037_00801;MPATH_MPATH_0099_05901;SCOR_SCORE_0244_04501,KAPT_KAPT_0029_09001;SON_SAS_0038_02001;MPATH_MPATH_0099_05901;CEZ_AUD_0037_00801;SCOR_SCORE_0244_04501,SCOR_SCORE_0244_04501;KAPT_KAPT_0029_09001;SON_SAS_0038_02001
S004,U001,news broadcast urgent,prompt,2025-01-03 16:18:00,DED_DED_0137_09401;KPM_KPM_2117_01101;JCM_JM_0183_02501;KPM_KPM_2312_00701;SCOR_SCORE_0178_02901;OCHO_OCHO_0006_01401;NRF_NRF_0013_02301;MTA_MTA_0053_36701;SON_SCDV_0252_04201;SEL_LS_1045_00701,KPM_KPM_2117_01101;KPM_KPM_2312_00701;SEL_LS_1045_00701;SON_SCDV_0252_04201,SON_SCDV_0252_04201;SEL_LS_1045_00701
S005,U001,tropical summer fun,prompt,2025-01-27 13:10:00,CS_CSLP_0070_00701;JMP_JMP_0101_05501;SON_SCD_0067_06503;SOHO_BOS_1048_06001;JCM_JM_0314_00101;MH_MH_0041_03701;AXS_AXS_2283_04501,JCM_JM_0314_00101;MH_MH_0041_03701;JMP_JMP_0101_05501,MH_MH_0041_03701
S006,U001,christmas festive holiday,prompt,2025-01-13 12:59:00,BRU_BR_0066_01601;PMY_PMY_0080_00301;JCM_JM_0314_00101;2FM_2FM_0052_03201;SEL_LS_1045_00701;SATV_SATVCD_0153_00101;LEM_LEM_0288_02401;SON_SCDV_0252_04201;KPM_KPM_0676_05001;MMIT_MMIT_0087_01001,SEL_LS_1045_00701;PMY_PMY_0080_00301;2FM_2FM_0052_03201;MMIT_MMIT_0087_01001;SATV_SATVCD_0153_00101,PMY_PMY_0080_00301;MMIT_MMIT_0087_01001
S007,U001,dark tension suspense,prompt,2025-02-21 15:09:00,IFM_IFM_0061_05201;KOS_KOS_0111_10101;BRU_BR_0066_01601;MYMA_SUPRA_0028_02001;KPM_KPM_2327_01701;JCM_JM_0218_18701,KPM_KPM_2327_01701;MYMA_SUPRA_0028_02001;BRU_BR_0066_01601;IFM_IFM_0061_05201;JCM_JM_0218_18701,KPM_KPM_2327_01701;JCM_JM_0218_18701;IFM_IFM_0061_05201
S008,U001,documentary nature emotional,prompt,2025-02-05 18:10:00,JCM_JMOD_0029_08201;BRU_BR_0538_01101;OCHO_OCHO_0006_01401;FAB_FAB_0039_02201;CEZ_CSDL_1013_08201;HARD_HARD_0009_01201;TRL_TRL_0004_07201;KPM_KPM_0817_04401;LQC_LQC_0037_00501;KPM_KPM_0934_03601,LQC_LQC_0037_00501;CEZ_CSDL_1013_08201,CEZ_CSDL_1013_08201;LQC_LQC_0037_00501
S009,U001,rock energetic driving,prompt,2025-02-10 14:10:00,SON_SCDV_1297_03101;KPM_KPM_2327_01701;BRU_HKD_0012_01801;SOHO_SOHO_0160_04501;KPM_KPM_0848_04901,BRU_HKD_0012_01801;KPM_KPM_2327_01701,
S010,U001,documentary nature emotional,prompt,2025-02-12 10:34:00,NFL_NFL_0036_01901;BRU_BR_0538_01101;2FM_2FM_0052_03201;MYMA_JUST_0307_03101;CEZ_CEZ_4639_00201;KOS_KOS_0409_00401;KPM_KPM_2117_01101;PMY_PMY_0141_03501;AXS_AXS_2069_07101,MYMA_JUST_0307_03101;BRU_BR_0538_01101,
S011,U001,romantic piano emotional,prompt,2025-02-24 15:52:00,SEL_LS_1045_00701;AXS_AXS_2581_02801;MTA_MTA_0053_36701;BRU_BTV_0221_05001;LQC_LQC_0037_00501;ES_ES_0044_03401;KPM_KPM_2327_01701;TRL_TRL_0004_07201;PRM_PRM_0146_04201,BRU_BTV_0221_05001;PRM_PRM_0146_04201;ES_ES_0044_03401;MTA_MTA_0053_36701;TRL_TRL_0004_07201,MTA_MTA_0053_36701;TRL_TRL_0004_07201
S012,U001,tropical summer fun,prompt,2025-03-08 11:04:00,SON_ROCK_0127_04101;LQC_LQC_0037_00501;SON_SCDV_0252_04201;PMY_PMY_0080_00301;NFL_NFL_0036_01901,SON_ROCK_0127_04101;LQC_LQC_0037_00501,
S013,U001,80s synth retro,prompt,2025-03-02 13:04:00,KAPT_KAPT_0029_09001;JMP_JMP_0101_05501;MYMA_JUST_0307_03101;SON_SAS_0038_02001;JCM_JM_0162_06401;AXS_AXS_2581_02801,JMP_JMP_0101_05501;SON_SAS_0038_02001;JCM_JM_0162_06401;KAPT_KAPT_0029_09001;MYMA_JUST_0307_03101,
S014,U001,corporate inspiring modern,prompt,2025-03-22 14:22:00,HARD_HARD_0009_01201;BRU_BR_0735_01901;AXS_AXS_2565_00401;JW_JWV_0418_06501;KOS_KOS_0182_12501;MH_MH_0041_03701;LQC_INSD_0088_00901;LEM_LEM_0288_02401,MH_MH_0041_03701;LQC_INSD_0088_00901;HARD_HARD_0009_01201;BRU_BR_0735_01901;KOS_KOS_0182_12501,KOS_KOS_0182_12501
S015,U001,high energy electronic workout,prompt,2025-03-15 10:27:00,HARD_HARD_0009_01201;IFM_IFM_0061_05201;AXS_AXS_2283_04501;JCM_JMOD_0038_02001;LQC_LQC_0037_00501;LQC_INSD_0088_00901;AXS_AXS_2565_00401,HARD_HARD_0009_01201;IFM_IFM_0061_05201,
