id,track_title,track_description,bpm,duration,album_title,library_name,composer,genre,additional_genres,apm_release_date
2FM_2FM_0002_00301,Regular As Clockwork 60,"Inviting, ticking strings with positive, uplifting piano and woodwind figure. Conclusive build to positive end",108,62,CONTEMPORARY CLASSICAL,2nd Foundation Music,Daryl Griffith,1222,1919;2001,01/06/2016
2FM_2FM_0002_05401,Playful Nature 30A,"Forward-moving, buoyant opening featuring simple interplaying strings and woodwinds leads to an open conclusion",110,31,CONTEMPORARY CLASSICAL,2nd Foundation Music,Daryl Griffith,1222,1919;2001,01/06/2016
2FM_2FM_0003_07101,Greatest Achievement 60A,Tonic pedal with positive movement in strings & sense of progression with fanfare horns. More subdued middle-section building to triumphant conclusion,120,61,CHALLENGES & ACHIEVEMENTS,2nd Foundation Music,Daryl Griffith,1222,1919;2004,01/06/2016
2FM_2FM_0004_00501,Haunted by the Past Sting,"Thought-provoking piano with spacious synths, sparse sting",40,17,AMBIENT PIANO,2nd Foundation Music,Daryl Griffith,1124,2169,01/06/2016
2FM_2FM_0008_03501,Mesmeric Atmospheres 60 Sparse Synths,"A reflective, electronic, hypnotic ostinato bed, with subtle metallic percussion interjections. Features subdued string chordal interjections",112,61,MANGLED ACOUSTICS,2nd Foundation Music,Bradley Farmer,1227,2002;2031,01/06/2016
2FM_2FM_0009_03501,Facing Capture StingA,"Subtle, staccato string ostinato later underpinned by tense, rhythmic lower strings, accelerates and builds towards large finale, big sting",96,10,TEXTURAL STRINGS,2nd Foundation Music,Bradley Farmer,1222,1919,01/06/2016
2FM_2FM_0012_08201,Boogie Woogie 60 Sparse,"Boogie-woogie piano trio with fast-paced, high-energy riffs",180,60,"BLUES, SOUL & ROCK 'N' ROLL",2nd Foundation Music,Bob Charles,1271,1912;1913,02/17/2016
2FM_2FM_0012_10201,Satisfy My Soul Main US,"Show-stopping, fast-paced soul track with grooving rhodes",190,182,"BLUES, SOUL & ROCK 'N' ROLL",2nd Foundation Music,Bob Charles,1271,1912;1913;2039,02/17/2016
2FM_2FM_0013_03801,Living with Anguish Main strings and pno only,"Haunting, reflective strings & simple, emotional piano, builds to romantic, positive climax & subsides to unnerving finale",84,201,PIANO & STRINGS,2nd Foundation Music,Daryl Griffith,1223,,05/11/2016
2FM_2FM_0013_12201,Insistent Progress 30B,"Regimented, metronomic lower strings, below smooth, soaring violin melody. A rhythmic piano answer leads to understated conclusion",117,31,PIANO & STRINGS,2nd Foundation Music,Daryl Griffith,1223,,05/11/2016
2FM_2FM_0014_10401,Nonchalant Synergy Main sparse theme,"Low, confident bass riff with improvisatory rhodes & rhythmic wooden ostinato swell to active percussion & soaring organ, ends with quirky interplay",152,140,TUNED PERCUSSION,2nd Foundation Music,Bradley Farmer,1223,1918;2031,05/11/2016
2FM_2FM_0018_05601,Portly Pomposity Main 60,"Ponderous, strings with haughty brass & woodwind theme. Sensuous, flirtatious sliding strings & angelic harp build to full brass conclusion",115,63,FAMILY FILM SCORING,2nd Foundation Music,Daryl Griffith,1109,1920;3906,10/26/2016
2FM_2FM_0022_00201,Take Back Control Main Strings Only,"Rhythmic, driving short strings lead to positive cinematic rhythms with low string punctuation",136,175,CINEMATIC PROMOS,2nd Foundation Music,Daryl Griffith,1110,2036,04/26/2017
2FM_2FM_0023_06401,Native Grandeur  60A,"Regal, improvisatory cello solo, with stoic, strong, emotional, low piano chords",90,61,INTIMATE DRAMA - PIANO & CELLO,2nd Foundation Music,Daryl Griffith,1109,1926;2032;2034;3906,04/26/2017
2FM_2FM_0023_09801,Overwrought Acceptance 30B,"Reflective, emotional piano ostinato with hugely overwrought cello solo & low piano weight",114,31,INTIMATE DRAMA - PIANO & CELLO,2nd Foundation Music,Daryl Griffith,1223,1918;1929;2035;3906,04/26/2017
2FM_2FM_0024_07001,Devoid of Hope 30A,"Downtrodden, sad swelling string chords build with melancholic cellos & violas to overwrought outpouring of unrequited emotion",62,31,EMOTIONAL STRINGS,2nd Foundation Music,Bradley Farmer,1223,1920;2035;3906,06/07/2017
2FM_2FM_0026_10401,Honor the Brave 30A,"Warm strings & subtle military snares underscore yearning bugle call. Builds to noble, martial conclusion",52,32,HEROES AND VILLAINS,2nd Foundation Music,Daryl Griffith,1111,2008;2009;2035;3906,08/30/2017
