prompt,result_track_ids,result_count
dark tension suspense,ADD_ADD_0013_04201;APM_APMC_0113_01301;2FM_2FM_0038_07201;ADD_ADD_0008_07201;APM_APMC_0118_04401;BIB_BIB_0109_01101;BIB_BIB_0066_01001;BRU_BTV_0107_04701;2FM_2FM_0038_10001;APM_APMC_0108_03501;APM_APMC_0118_01001;APM_APMC_0124_01101;APM_APMC_0124_02501;APM_APMC_0160_01401;APM_APMC_0211_01501;AWP_AWP_0029_06901;AXS_AXS_2296_01301;AXS_AXS_2321_06101;BRU_BCC_0012_02401;BRU_BEE_0014_01401;BRU_BEE_0016_01901;BRU_BR_0311_07701;BRU_BR_0326_09601;BRU_BR_0396_02301;BRU_BR_0396_04801;BRU_BR_0695_02301;SEL_LS_1012_00601;SEL_LS_1037_00201;SEL_LS_1045_00701;SEL_LS_1057_00101;SEL_LS_1062_02101;2FM_2FM_0097_01901;ADTK_ADTK_0192_05001;ALC_ALC_0050_00501;BIB_IOM_0001_00201;ADD_ADD_0004_09901,36
uplifting inspiring corporate,BIB_TBX_0109_00801;BIB_BIB_0140_01501;2FM_2FM_0002_00301;ADTK_ADTK_0192_09601;2FM_2FM_0003_07101;2FM_2FM_0052_03201;2FM_2FM_0088_05601;2FM_2FM_0099_00501;ADTK_ADTK_0192_05001;AXS_AXS_2283_04501;2FM_2FM_0002_05401;2FM_2FM_0008_03501;2FM_2FM_0009_03501;2FM_2FM_0030_10301;2FM_2FM_0051_17601;2FM_2FM_0054_06401;2FM_2FM_0054_08401;2FM_2FM_0065_10101;2FM_2FM_0098_08301;ADD_ADD_0002_10501;ADD_ADD_0006_00901;ADD_ADD_0006_04901;ADD_ADD_0019_03501;ADD_ADD_0026_05001;ANEW_ANEW_0004_04801;ANEW_ANEW_0006_02401;ANH_ANH_0039_09201;ANH_ANH_0044_03101;ANH_ANH_0045_01401;ANH_ANH_0045_11601;ANH_ANH_0049_03901;AXS_AXD_3001_05601;AXS_AXD_3006_05501;AXS_AXS_2194_06901;BIB_TBX_0200_01001;KOS_KOS_0017_00701,36
epic trailer drums,ANH_ANH_0002_12901;ABAC_ABAC_0011_00101;AWP_AWP_0024_05001;AXS_AXS_2576_02801;AXS_AXS_2618_01301;BIB_BIB_0066_01001;BRU_BEE_0019_03801;BRU_BR_0226_03801;2FM_2FM_0038_07201;2FM_2FM_0038_10001;ABAC_ABAC_0002_00701;ADD_ADD_0005_07401;ANH_ANH_0001_14101;ANH_ANH_0002_00301;ANH_ANH_0004_00501;ANH_ANH_0004_11901;ANH_ANH_0005_14001;ANH_ANH_0006_09101;ANH_ANH_0006_13401;APM_APMC_0108_03501;APM_APMC_0113_01301;APM_APMC_0118_01001;APM_APMC_0118_04401;APM_APMC_0160_01401;APM_APMC_0211_01501;AWP_AWP_0028_00801;AXS_AXS_2063_02901;BIB_BIB_0109_01101;BIB_TBX_0190_00201;BRU_BCC_0012_02401;BRU_BR_0433_01501;BRU_SVN_0039_02601;SEL_LS_1012_00601;SEL_LS_1037_00201;SEL_LS_1045_00701;SEL_LS_1057_00101,36
christmas holiday festive,2FM_2FM_0079_04001;AXS_AXS_2591_01001;2FM_2FM_0115_07301;BRU_BCC_0003_04601;ALC_ALC_0091_00601;2FM_2FM_0022_00201;2FM_2FM_0045_06501;2FM_2FM_0057_02601;2FM_2FM_0091_00801;2FM_2FM_0091_01401;2FM_2FM_0091_11201;2FM_2FM_0092_06901;2FM_2FM_0092_10701;2FM_2FM_0111_02901;2FM_2FM_0115_10601;ALC_ALC_0005_03101;ALC_ALC_0026_01801;ALC_ALC_0050_00501;ALC_ALC_0058_00201;ALC_ALC_0102_00901;ALC_ALC_0109_00501;ALC_ALC_0130_00701;APM_APMC_0121_00601;APM_APMC_0262_00701,24
80s synth retro neon,APM_APMC_0124_02501;ADD_ADD_0011_03201;APM_APMC_0124_01101;AXS_AXS_2042_01401;AXS_AXS_2052_07101;AXS_AXS_2321_06101;BRU_BR_0695_02301;ADD_ADD_0005_09701;AVC_AVCD_0749_00801;AXS_AXS_2001_06501;AXS_AXS_2012_02601;AXS_AXS_2022_06401;AXS_AXS_2052_02901;AXS_AXS_2071_05801;AXS_AXS_2296_01301;BRU_BR_0311_07701;BRU_BR_0326_09601;BRU_BR_0396_02301;BRU_BR_0396_04801;BRU_BTV_0107_04701;2FM_2FM_0008_03501;BIB_TBX_0109_00801;2FM_2FM_0106_08301;ADD_ADD_0008_07201;ADTK_ADTK_0353_03401;ANH_ANH_0002_00301;APM_APMC_0174_11001;AXS_AXS_2006_02801;BIB_BIB_0105_01901;BIB_INPIC_0003_04701;CEZ_CEL_7035_00101;2FM_2FM_0030_10301;2FM_2FM_0038_07201;2FM_2FM_0038_10001;2FM_2FM_0051_17601;2FM_2FM_0052_03201,36
emotional piano sad,2FM_2FM_0041_01401;2FM_2FM_0041_07301;2FM_2FM_0056_12301;2FM_2FM_0048_11401;2FM_2FM_0081_10801;ALC_ALC_0026_01801;BRU_BCC_0038_05401;2FM_2FM_0064_07901;2FM_2FM_0082_10101;2FM_2FM_0102_04001;KPM_KPMCS_0029_01901;2FM_2FM_0068_01201;2FM_2FM_0082_13301;2FM_2FM_0094_00701;2FM_2FM_0056_00501;ALC_ALC_0050_00501;ALC_ALC_0102_00901;AXS_AXS_2049_03101;FAB_FAB_0039_02201;SEL_LS_1083_00401;2FM_2FM_0033_06701;2FM_2FM_0033_10801;2FM_2FM_0040_05901;2FM_2FM_0063_17101;2FM_2FM_0081_13501;ALC_ALC_0058_00201;APM_APMC_0262_00701;FAB_FAB_0024_02501;KOS_KCL_3003_00601;MPATH_MPATH_0021_12001;SPARKLE_SPARKLE_0013_03601;SPARKLE_SPARKLE_0013_08001;2FM_2FM_0106_08301;SON_SCDC_3774~2_00101;2FM_2FM_0022_00201;2FM_2FM_0085_09501,36
tropical summer fun,ADD_ADD_0023_06801;AXS_AXS_2017_05501;AXS_AXS_2031_05101;AXS_AXS_2045_00401;ADD_ADD_0006_04901;ADTK_ADTK_0192_05001;ADTK_ADTK_0192_09601;APM_APMC_0179_02201;AXS_AXS_2039_01601;BIB_TBX_0138_02801;BRU_BTV_0160_03601;2FM_2FM_0002_00301;2FM_2FM_0002_05401;2FM_2FM_0003_07101;2FM_2FM_0009_03501;ADD_ADD_0002_05301;ADD_ADD_0002_10501;ADD_ADD_0003_04401;ADD_ADD_0006_00901;ADD_ADD_0019_03501;ADD_ADD_0026_05001;ADTK_ADTK_0353_03401;ANEW_ANEW_0004_04801;ANEW_ANEW_0006_02401;ANH_ANH_0039_09201;ANH_ANH_0044_03101;ANH_ANH_0045_01401;ANH_ANH_0045_11601;ANH_ANH_0049_03901;APM_APMC_0137_13501;APM_APMC_0174_11001;APM_APMC_0176_01601;APM_APMC_0213_05401;APM_APMC_0214_00901;AVC_AVCD_0701_00801;AWP_AWP_0025_02901,36
hip hop urban street,AXS_AXS_2380_02601;AXS_AXS_2565_00401;AXS_AXS_2604_01201;AXS_AXS_2604_01501;LQC_INSD_0138_02001;ABAC_ABAC_0006_00601;BIB_BIB_0206_02601;APM_APMC_0233_00801;BIB_BIB_0105_01901;AXS_AXS_2380_06501;MH_MH_0001_04201;APM_APMC_0201_02801;APM_APMC_0236_00701;AWP_AWP_0035_00501;AXS_AXS_2258~2_05901;BIB_BIB_0181_02401;BIB_BIB_0235_02001;SON_SAS_0066_00801;BRU_SVN_0039_02601;ANH_ANH_0039_09201;BIB_BIB_0066_01001;ADTK_ADTK_0353_03401;BIB_BIB_0109_01101;SON_HIP_0120_00101,24
rock energetic driving,ADTK_ADTK_0363_02201;BIB_BIB_0103_00501;AXS_AXS_2480_03201;AXS_AXS_2510_05001;BRU_BR_0575_05301;APM_APMC_0191_02001;BIB_BIB_0105_01901;BRU_BR_0235_01101;AXS_AXS_2548_02101;BIB_INPIC_0003_04701;BRU_BR_0173_02901;BRU_BR_0239_02401;BRU_BR_0568_06001;AXS_AXS_2482_06301;BIB_BIB_0021_01601;BIB_BIB_0078_00901;BIB_BIB_0235_02001;BIB_TBX_0190_00201;BRU_BEE_0019_03801;BRU_BR_0218_01901;AWP_AWP_0024_05001;AXS_AXS_2314_02001;AXS_AXS_2395_02901;BIB_BIB_0181_02401;BIB_INPIC_0003_00101;BRU_BR_0173_02401;BRU_BR_0583_00701;ABAC_ABAC_0006_00601;ADD_ADD_0005_07401;APM_APMC_0149_00901;AVC_AVCD_0710_00101;AWP_AWP_0019_00801;AWP_AWP_0020_03701;AWP_AWP_0021_01001;AXS_AXS_2063_02901;AXS_AXS_2410_00901;AXS_AXS_2576_02801;AXS_AXS_2618_01301;BIB_INPIC_0054_02901;BRU_BR_0112_00241;BRU_BR_0226_03801;BRU_BR_0228_02701;BRU_BR_0318_09501;BRU_BR_0475~2_02901;BRU_BR_0518_07801;SON_HIP_0120_00101;BRU_BR_0433_01501;BRU_BR_0433_03601,48
acoustic guitar reflective,BIB_TBX_0138_02801;BLOOM_BLOOM_0004_04201;BRU_BTV_0157_03201;AXS_AXS_2591_01001;BIB_TBX_0210_00301;GTP_GTP_0052_01201;BIB_TBX_0209_01601;BRU_BTV_0160_03601;AWP_AWP_0025_02901;BRU_BR_0593_01201;BIB_IOM_0001_00201;2FM_2FM_0038_10001;APM_APMC_0137_13501;2FM_2FM_0034_12201;2FM_2FM_0038_07201;2FM_2FM_0105_00301;2FM_2FM_0105_04901;ADD_ADD_0002_05301;ADTK_ADTK_0363_02201;GUM_GMT_8098_00501;SOHO_SOHO_0172_01101;SPOTON_SPOTON_0027_26801;2FM_2FM_0008_03501;ADD_ADD_0002_10501;BIB_INPIC_0003_00101;BIB_INPIC_0003_04701;BRU_BR_0460_01001;BRU_BR_0568_06001;2FM_2FM_0030_10301;2FM_2FM_0041_07301;2FM_2FM_0068_01201;2FM_2FM_0088_05601;2FM_2FM_0099_00501;ADD_ADD_0005_07401;ADD_ADD_0006_04901;ADD_ADD_0008_07201,36
