source_track_id,similar_track_ids,similarity_basis
NFL_NFL_0036_01901,KPM_KPM_0817_04401;KPM_KPM_2312_00701;PMY_PMY_0080_00301;BRU_BTV_0221_05001,orchestral;emotional;cinematic
KPM_KPM_0934_03601,KPM_KPM_2117_01101;SON_SCD_0067_06503;BRU_BR_0066_01601,news;broadcast;energetic
CEZ_CEZ_4639_00201,AXS_AXS_2581_02801;STR_STR_0067_00701;ADTK_ADTK_0184_03201,80s;synth;retro
KPM_KPM_2005_16101,IFM_IFM_0061_05201;SON_ROCK_0127_04101;SOHO_SOHO_0363_04101,sting;short;energetic
KPM_KPM_0676_05001,KOS_KOS_0409_00401;MMIT_MMIT_0087_01001;MTA_MTA_0053_36701,happy;cheerful;children
NRF_NRF_0013_02301,KPM_KPM_2312_00701;MYMA_JUST_0307_03101;IFM_IFM_0313_01201,electronic;tension;cinematic
AXS_AXS_2565_00401,OCHO_OCHO_0006_01401;CEZ_AUD_0037_00801;JCM_JM_0162_06401,hip-hop;urban;vocal
LEM_LEM_0288_02401,VOY_VOY_0051_00301;JCM_JMOD_0029_08201;MYMA_JUST_0307_03101,quirky;dramedy;synth
OCHO_OCHO_0006_01401,AXS_AXS_2565_00401;JCM_JM_0162_06401;SON_SAS_0038_02001,latin;groove;brass
AXS_AXS_2283_04501,MPATH_MPATH_0099_05901;BRU_BTV_0221_05001;JMP_JMP_0101_05501,corporate;peaceful;introspective
IFM_IFM_0303_00701,KPM_KPM_2117_01101;SON_SCDV_1169_04601;JCM_JM_0314_00101,dark;urban;hip-hop;action
SCOR_SCORE_0244_04501,RYL_RYL_0052_00501;2FM_2FM_0052_03201;SCOR_SCORE_0178_02901,motivational;sports;energetic
LQC_INSD_0088_00901,VOY_VOY_0060_00502;SON_ROCK_0163_04201;SOHO_SOHO_0160_04501,rock;driving;energetic
MPATH_MPATH_0099_05901,AXS_AXS_2283_04501;JMP_JMP_0101_05501;BRU_BTV_0221_05001,corporate;hopeful;inspiring
KOS_KOS_0409_00401,KPM_KPM_0676_05001;MMIT_MMIT_0087_01001;KAPT_KAPT_0286_02701,warm;acoustic;folk
MYMA_JUST_0216_03401,VOY_VOY_0009_06201;JCM_JM_0162_06401;MYMA_SUPRA_0028_02001,electro;summer;uplifting
AXS_AXS_2581_02801,CEZ_CEZ_4639_00201;ADTK_ADTK_0184_03201;HARD_HARD_0009_01201,80s;pop;synth
VOY_VOY_0060_00502,LQC_INSD_0088_00901;SON_ROCK_0163_04201;SOHO_SOHO_0160_04501,rock;cool;swagger
RYL_RYL_0052_00501,SCOR_SCORE_0244_04501;2FM_2FM_0052_03201;BRU_HKD_0012_01801,motivational;uplifting;vocal
SON_ISCD_0222_02901,DED_DED_0137_09401;PRM_PRM_0146_04201;GUM_GMT_8177_00201,retro;blues;jazz
VOY_VOY_0009_06201,MYMA_JUST_0216_03401;JMP_JMP_0109_06601;MMIT_MMIT_0087_01001,playful;pop;acoustic
KPM_KPM_0848_04901,NFL_NFL_0036_01901;PMY_PMY_0080_00301;2FM_2FM_0056_12301,warm;piano;emotional
